,pid,dayofstudy,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std,loyalty_aspire,regularity_aspire,duration_aspire,duration_mean_aspire,duration_std_aspire,duration_min_aspire,duration_max_aspire,betweenlaunch_duration_mean_aspire,betweenlaunch_duration_std_aspire,loyalty_boostme,regularity_boostme,duration_boostme,duration_mean_boostme,duration_std_boostme,duration_min_boostme,duration_max_boostme,betweenlaunch_duration_mean_boostme,betweenlaunch_duration_std_boostme,loyalty_dailyfeats,regularity_dailyfeats,duration_dailyfeats,duration_mean_dailyfeats,duration_std_dailyfeats,duration_min_dailyfeats,duration_max_dailyfeats,betweenlaunch_duration_mean_dailyfeats,betweenlaunch_duration_std_dailyfeats,loyalty_icope,regularity_icope,duration_icope,duration_mean_icope,duration_std_icope,duration_min_icope,duration_max_icope,betweenlaunch_duration_mean_icope,betweenlaunch_duration_std_icope,loyalty_mantra,regularity_mantra,duration_mantra,duration_mean_mantra,duration_std_mantra,duration_min_mantra,duration_max_mantra,betweenlaunch_duration_mean_mantra,betweenlaunch_duration_std_mantra,loyalty_messages,regularity_messages,duration_messages,duration_mean_messages,duration_std_messages,duration_min_messages,duration_max_messages,betweenlaunch_duration_mean_messages,betweenlaunch_duration_std_messages,loyalty_moveme,regularity_moveme,duration_moveme,duration_mean_moveme,duration_std_moveme,duration_min_moveme,duration_max_moveme,betweenlaunch_duration_mean_moveme,betweenlaunch_duration_std_moveme,loyalty_relax,regularity_relax,duration_relax,duration_mean_relax,duration_std_relax,duration_min_relax,duration_max_relax,betweenlaunch_duration_mean_relax,betweenlaunch_duration_std_relax,loyalty_slumbertime,regularity_slumbertime,duration_slumbertime,duration_mean_slumbertime,duration_std_slumbertime,duration_min_slumbertime,duration_max_slumbertime,betweenlaunch_duration_mean_slumbertime,betweenlaunch_duration_std_slumbertime,loyalty_socialforce,regularity_socialforce,duration_socialforce,duration_mean_socialforce,duration_std_socialforce,duration_min_socialforce,duration_max_socialforce,betweenlaunch_duration_mean_socialforce,betweenlaunch_duration_std_socialforce,loyalty_thoughtchallenger,regularity_thoughtchallenger,duration_thoughtchallenger,duration_mean_thoughtchallenger,duration_std_thoughtchallenger,duration_min_thoughtchallenger,duration_max_thoughtchallenger,betweenlaunch_duration_mean_thoughtchallenger,betweenlaunch_duration_std_thoughtchallenger,loyalty_worryknot,regularity_worryknot,duration_worryknot,duration_mean_worryknot,duration_std_worryknot,duration_min_worryknot,duration_max_worryknot,betweenlaunch_duration_mean_worryknot,betweenlaunch_duration_std_worryknot,num_apps_used,most_used_app_0,most_used_app_1,most_used_app_2,anx_mood,dep_mood
0,1000,18.0,3,7,1,90,13.0,11.0,0,31,12500.0,30002.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,31.0,31.0,0.0,31.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,28.0,9.0,7.0,1.0,14.0,390.0,212.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,31.0,16.0,9.0,9.0,22.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,relax,,,,
1,1000,19.0,3,8,2,309,39.0,38.0,0,110,3231.0,8128.0,2.0,2.0,179.0,90.0,29.0,69.0,110.0,21660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,84.0,42.0,10.0,35.0,49.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,46.0,12.0,17.0,0.0,36.0,300.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,relax,,,,
2,1000,19.0,3,8,2,309,39.0,38.0,0,110,3231.0,8128.0,2.0,2.0,179.0,90.0,29.0,69.0,110.0,21660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,84.0,42.0,10.0,35.0,49.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,46.0,12.0,17.0,0.0,36.0,300.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,relax,,,,
3,1000,20.0,3,10,2,262,26.0,23.0,0,65,8020.0,21447.0,1.0,1.0,18.0,18.0,0.0,18.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2.0,82.0,27.0,9.0,20.0,38.0,33330.0,44845.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,33.0,11.0,10.0,0.0,19.0,780.0,424.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,129.0,64.0,1.0,64.0,65.0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,mantra,relax,,,
4,1000,21.0,3,15,4,297,20.0,24.0,0,78,5593.0,9352.0,2.0,2.0,88.0,44.0,48.0,10.0,78.0,52140.0,-1.0,1.0,1.0,6.0,6.0,0.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,95.0,48.0,23.0,31.0,64.0,2100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.0,83.0,17.0,14.0,1.0,38.0,13635.0,25752.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,24960.0,14425.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,25.0,12.0,15.0,2.0,23.0,54360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,relax,,,,
5,1000,21.0,3,15,4,297,20.0,24.0,0,78,5593.0,9352.0,2.0,2.0,88.0,44.0,48.0,10.0,78.0,52140.0,-1.0,1.0,1.0,6.0,6.0,0.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,95.0,48.0,23.0,31.0,64.0,2100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.0,83.0,17.0,14.0,1.0,38.0,13635.0,25752.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,24960.0,14425.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,25.0,12.0,15.0,2.0,23.0,54360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,relax,,,,
6,1000,22.0,4,6,3,8,1.0,3.0,0,8,13812.0,12104.0,1.0,1.0,8.0,8.0,0.0,8.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,11920.0,6815.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,slumbertime,,,1.0,4.0
7,1000,25.0,4,12,3,190,16.0,19.0,0,62,6840.0,12910.0,1.0,1.0,9.0,9.0,0.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,43.0,22.0,15.0,11.0,32.0,11880.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,106.0,26.0,25.0,8.0,62.0,10320.0,9554.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,15660.0,6364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,32.0,32.0,0.0,32.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,relax,,,1.0,4.0
8,1000,26.0,4,18,3,291,16.0,22.0,0,79,4648.0,10194.0,2.0,1.0,55.0,28.0,15.0,17.0,38.0,120.0,-1.0,2.0,2.0,44.0,22.0,28.0,2.0,42.0,20520.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,96.0,14.0,29.0,0.0,79.0,12910.0,15177.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,35.0,12.0,19.0,0.0,34.0,540.0,85.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,35.0,35.0,0.0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,1.0,4.0
9,1000,26.0,4,18,3,291,16.0,22.0,0,79,4648.0,10194.0,2.0,1.0,55.0,28.0,15.0,17.0,38.0,120.0,-1.0,2.0,2.0,44.0,22.0,28.0,2.0,42.0,20520.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,96.0,14.0,29.0,0.0,79.0,12910.0,15177.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,35.0,12.0,19.0,0.0,34.0,540.0,85.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,35.0,35.0,0.0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,1.0,4.0
