,pid,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
0,1000,41.0,31,4,617,20.0,36.0,0,154,2322.0,3969.0
1,1000,43.0,28,4,315,11.0,25.0,0,125,2309.0,3365.0
2,1000,39.0,27,4,350,13.0,21.0,0,96,3023.0,3657.0
3,1000,38.0,26,4,273,10.0,19.0,0,82,3283.0,4301.0
4,1000,34.0,25,3,615,25.0,40.0,0,189,3422.0,8257.0
5,1000,45.0,25,4,185,7.0,16.0,0,78,3255.0,4540.0
6,1000,40.0,24,4,498,21.0,28.0,0,99,3678.0,5598.0
7,1000,42.0,24,4,287,12.0,14.0,0,45,3164.0,5175.0
8,1000,47.0,23,4,152,7.0,16.0,0,72,3608.0,5742.0
9,1000,33.0,22,4,553,25.0,38.0,0,151,3866.0,7463.0
10,1000,37.0,21,4,295,14.0,22.0,0,78,3780.0,5938.0
11,1000,27.0,20,3,337,17.0,33.0,0,132,4089.0,6889.0
12,1000,28.0,20,4,290,14.0,42.0,0,186,4276.0,6767.0
13,1000,30.0,20,3,349,17.0,30.0,0,102,3976.0,7443.0
14,1000,36.0,20,3,344,17.0,24.0,0,89,3976.0,9365.0
15,1000,46.0,20,4,212,11.0,18.0,0,68,3947.0,5424.0
16,1000,29.0,19,3,307,16.0,30.0,0,132,4200.0,10269.0
17,1000,44.0,19,3,292,15.0,20.0,0,72,2803.0,4856.0
18,1000,49.0,19,3,279,15.0,23.0,0,77,3693.0,10071.0
19,1000,26.0,18,3,291,16.0,22.0,0,79,4648.0,10194.0
20,1000,31.0,17,3,136,8.0,14.0,0,45,4725.0,7565.0
21,1000,32.0,17,4,199,12.0,24.0,0,84,4725.0,5014.0
22,1000,35.0,17,4,188,11.0,19.0,0,60,4868.0,5804.0
23,1000,21.0,15,4,297,20.0,24.0,0,78,5593.0,9352.0
24,1000,6.0,12,3,284,24.0,26.0,0,87,5133.0,12783.0
25,1000,25.0,12,3,190,16.0,19.0,0,62,6840.0,12910.0
26,1000,48.0,11,3,109,10.0,13.0,0,37,4326.0,4946.0
27,1000,20.0,10,2,262,26.0,23.0,0,65,8020.0,21447.0
28,1000,19.0,8,2,309,39.0,38.0,0,110,3231.0,8128.0
29,1000,17.0,7,2,88,13.0,16.0,0,45,10750.0,24843.0
30,1000,18.0,7,1,90,13.0,11.0,0,31,12500.0,30002.0
31,1000,22.0,6,3,8,1.0,3.0,0,8,13812.0,12104.0
32,1000,23.0,6,3,44,7.0,18.0,0,44,16800.0,17441.0
33,1000,11.0,5,1,242,48.0,59.0,0,145,630.0,312.0
34,1000,13.0,5,2,134,27.0,36.0,0,72,14985.0,26676.0
35,1000,12.0,4,3,99,25.0,30.0,0,59,15840.0,19441.0
36,1000,15.0,4,1,83,21.0,29.0,0,63,820.0,932.0
37,1000,16.0,4,1,105,26.0,27.0,1,59,240.0,262.0
38,1000,24.0,4,2,0,0.0,0.0,0,0,15420.0,9211.0
39,1000,7.0,3,1,12,4.0,7.0,0,12,3180.0,1442.0
