,pid,package,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
0,1000,aspire,29.0,5,1,73,15.0,13.0,0,35,495.0,486.0
1,1000,aspire,19.0,2,2,179,90.0,29.0,69,110,21660.0,-1.0
2,1000,aspire,21.0,2,2,88,44.0,48.0,10,78,52140.0,-1.0
3,1000,aspire,26.0,2,1,55,28.0,15.0,17,38,120.0,-1.0
4,1000,aspire,28.0,2,1,45,22.0,15.0,12,33,2160.0,-1.0
5,1000,aspire,39.0,2,2,61,30.0,8.0,25,36,4500.0,-1.0
6,1000,aspire,40.0,2,1,23,12.0,4.0,9,14,8940.0,-1.0
7,1000,aspire,41.0,2,2,72,36.0,34.0,12,60,18600.0,-1.0
8,1000,aspire,42.0,2,1,21,10.0,5.0,7,14,120.0,-1.0
9,1000,aspire,18.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
10,1000,aspire,20.0,1,1,18,18.0,0.0,18,18,-1.0,-1.0
11,1000,aspire,22.0,1,1,8,8.0,0.0,8,8,-1.0,-1.0
12,1000,aspire,25.0,1,1,9,9.0,0.0,9,9,-1.0,-1.0
13,1000,aspire,27.0,1,1,2,2.0,0.0,2,2,-1.0,-1.0
14,1000,aspire,30.0,1,1,24,24.0,0.0,24,24,-1.0,-1.0
15,1000,aspire,31.0,1,1,45,45.0,0.0,45,45,-1.0,-1.0
16,1000,aspire,32.0,1,1,53,53.0,0.0,53,53,-1.0,-1.0
17,1000,aspire,33.0,1,1,35,35.0,0.0,35,35,-1.0,-1.0
18,1000,aspire,34.0,1,1,8,8.0,0.0,8,8,-1.0,-1.0
19,1000,aspire,36.0,1,1,25,25.0,0.0,25,25,-1.0,-1.0
20,1000,aspire,37.0,1,1,35,35.0,0.0,35,35,-1.0,-1.0
21,1000,aspire,38.0,1,1,32,32.0,0.0,32,32,-1.0,-1.0
22,1000,aspire,43.0,1,1,33,33.0,0.0,33,33,-1.0,-1.0
23,1000,aspire,44.0,1,1,30,30.0,0.0,30,30,-1.0,-1.0
24,1000,aspire,45.0,1,1,17,17.0,0.0,17,17,-1.0,-1.0
25,1000,aspire,46.0,1,1,18,18.0,0.0,18,18,-1.0,-1.0
26,1000,aspire,47.0,1,1,29,29.0,0.0,29,29,-1.0,-1.0
27,1000,aspire,49.0,1,1,18,18.0,0.0,18,18,-1.0,-1.0
28,1000,boostme,33.0,3,2,159,53.0,32.0,18,81,12270.0,16080.0
29,1000,boostme,6.0,2,2,0,0.0,0.0,0,0,41880.0,-1.0
30,1000,boostme,26.0,2,2,44,22.0,28.0,2,42,20520.0,-1.0
31,1000,boostme,30.0,2,1,180,90.0,17.0,78,102,240.0,-1.0
32,1000,boostme,34.0,2,2,84,42.0,30.0,21,63,25440.0,-1.0
33,1000,boostme,40.0,2,1,184,92.0,10.0,85,99,14340.0,-1.0
