,bl_group,subgroup,package,time_window,loyalty,loyalty_mean,loyalty_std,regularity,regularity_mean,regularity_std,duration,duration_mean,duration_std
0,anxiety,high,aspire,Afternoon (12pm-6pm),4,2,0,4,1,1,1,0,1
1,anxiety,high,aspire,Late Night (12am-6am),12,6,1,9,2,2,13,6,5
2,anxiety,high,aspire,Evening (6pm-12am),10,3,2,6,1,1,6,2,2
3,anxiety,high,aspire,Morning (6am-12pm),5,2,1,3,0,1,5,2,2
4,anxiety,high,boostme,Afternoon (12pm-6pm),13,6,5,10,2,3,19,10,6
5,anxiety,high,boostme,Late Night (12am-6am),27,14,15,14,2,5,28,14,14
6,anxiety,high,boostme,Evening (6pm-12am),23,12,12,16,3,6,32,16,16
7,anxiety,high,boostme,Morning (6am-12pm),5,5,0,2,0,1,7,7,0
8,anxiety,high,dailyfeats,Afternoon (12pm-6pm),78,26,23,48,8,11,50,17,25
9,anxiety,high,dailyfeats,Late Night (12am-6am),33,8,11,24,4,7,22,6,8
10,anxiety,high,dailyfeats,Evening (6pm-12am),36,12,17,26,4,8,17,6,9
11,anxiety,high,dailyfeats,Morning (6am-12pm),10,3,3,8,1,2,7,2,2
12,anxiety,high,icope,Afternoon (12pm-6pm),2,1,0,2,0,1,0,0,0
13,anxiety,high,icope,Late Night (12am-6am),7,4,1,4,1,1,4,2,1
14,anxiety,high,icope,Evening (6pm-12am),9,3,1,6,1,1,7,2,2
15,anxiety,high,icope,Morning (6am-12pm),6,2,1,3,0,1,9,3,1
16,anxiety,high,mantra,Afternoon (12pm-6pm),8,4,1,6,1,2,5,2,2
17,anxiety,high,mantra,Late Night (12am-6am),9,2,1,6,1,1,6,2,1
18,anxiety,high,mantra,Evening (6pm-12am),16,3,2,11,2,1,6,1,1
19,anxiety,high,mantra,Morning (6am-12pm),2,1,0,2,0,1,3,2,2
20,anxiety,high,messages,Afternoon (12pm-6pm),47,12,9,25,4,5,7,2,3
21,anxiety,high,messages,Late Night (12am-6am),55,14,11,35,6,6,18,4,3
22,anxiety,high,messages,Evening (6pm-12am),59,15,9,38,6,6,5,1,2
23,anxiety,high,messages,Morning (6am-12pm),2,1,0,2,0,1,1,0,1
24,anxiety,high,moveme,Late Night (12am-6am),8,4,4,4,1,1,3,2,2
25,anxiety,high,moveme,Evening (6pm-12am),5,2,1,3,0,1,2,1,0
26,anxiety,high,moveme,Morning (6am-12pm),2,2,0,1,0,0,4,4,0
27,anxiety,high,relax,Afternoon (12pm-6pm),15,5,1,7,1,2,6,2,0
28,anxiety,high,relax,Late Night (12am-6am),31,8,4,18,3,3,11,3,2
29,anxiety,high,relax,Evening (6pm-12am),52,13,11,19,3,3,25,6,6
30,anxiety,high,relax,Morning (6am-12pm),11,4,4,5,1,1,2,1,1
31,anxiety,high,slumbertime,Afternoon (12pm-6pm),10,5,4,5,1,2,5,2,4
32,anxiety,high,slumbertime,Late Night (12am-6am),5,2,1,3,0,1,2,1,1
33,anxiety,high,slumbertime,Evening (6pm-12am),4,2,1,3,0,1,2,1,1
34,anxiety,high,slumbertime,Morning (6am-12pm),2,2,0,2,0,1,0,0,0
35,anxiety,high,socialforce,Afternoon (12pm-6pm),5,5,0,3,0,1,0,0,0
36,anxiety,high,socialforce,Late Night (12am-6am),6,3,3,5,1,2,2,1,0
37,anxiety,high,socialforce,Evening (6pm-12am),6,6,0,5,1,2,2,2,0
38,anxiety,high,thoughtchallenger,Afternoon (12pm-6pm),10,5,4,8,1,3,6,3,1
39,anxiety,high,thoughtchallenger,Late Night (12am-6am),57,14,21,23,4,7,25,6,7
40,anxiety,high,thoughtchallenger,Evening (6pm-12am),49,16,11,20,3,5,25,8,5
41,anxiety,high,thoughtchallenger,Morning (6am-12pm),6,3,1,3,0,1,3,2,1
42,anxiety,high,worryknot,Afternoon (12pm-6pm),4,2,1,3,0,1,2,1,0
43,anxiety,high,worryknot,Late Night (12am-6am),23,8,7,8,1,2,13,4,5
44,anxiety,high,worryknot,Evening (6pm-12am),16,5,5,7,1,1,16,5,5
45,anxiety,high,worryknot,Morning (6am-12pm),11,4,3,4,1,1,4,1,1
46,anxiety,low,aspire,Afternoon (12pm-6pm),20,10,10,15,2,5,10,5,4
47,anxiety,low,aspire,Late Night (12am-6am),4,2,1,3,0,1,6,3,3
48,anxiety,low,aspire,Evening (6pm-12am),21,21,0,14,2,5,8,8,0
49,anxiety,low,aspire,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
50,anxiety,low,boostme,Afternoon (12pm-6pm),18,9,4,15,2,4,18,9,11
51,anxiety,low,boostme,Late Night (12am-6am),2,2,0,2,0,1,2,2,0
52,anxiety,low,boostme,Evening (6pm-12am),22,11,10,19,2,6,19,10,13
53,anxiety,low,boostme,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
54,anxiety,low,dailyfeats,Afternoon (12pm-6pm),5,2,2,5,1,1,0,0,0
55,anxiety,low,dailyfeats,Late Night (12am-6am),11,4,3,8,1,2,6,2,3
56,anxiety,low,dailyfeats,Evening (6pm-12am),24,8,10,14,2,3,9,3,2
57,anxiety,low,dailyfeats,Morning (6am-12pm),34,34,0,28,4,10,7,7,0
58,anxiety,low,icope,Afternoon (12pm-6pm),8,2,1,8,1,1,4,1,1
59,anxiety,low,icope,Late Night (12am-6am),2,1,0,2,0,0,1,0,1
60,anxiety,low,icope,Evening (6pm-12am),14,5,6,14,2,4,6,2,2
61,anxiety,low,icope,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
