,pid,package,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
0,1000,aspire,6,11,7,269,24.0,16.0,7,60,52866.0,39468.0
1,1000,aspire,5,10,6,238,24.0,18.0,0,53,48773.0,46900.0
2,1000,aspire,4,7,5,119,17.0,13.0,2,38,73980.0,68960.0
3,1000,aspire,3,6,4,285,48.0,44.0,0,110,51192.0,41505.0
4,1000,aspire,7,6,6,145,24.0,7.0,17,33,104388.0,30888.0
5,1000,boostme,5,11,7,694,63.0,37.0,18,132,51534.0,35081.0
6,1000,boostme,6,9,7,687,76.0,33.0,20,114,66060.0,31888.0
7,1000,boostme,7,6,6,492,82.0,21.0,68,125,104376.0,30868.0
8,1000,boostme,4,4,3,362,90.0,84.0,2,186,58720.0,33104.0
9,1000,boostme,1,2,1,0,0.0,0.0,0,0,41880.0,-1.0
10,1000,boostme,3,1,1,6,6.0,0.0,6,6,-1.0,-1.0
11,1000,dailyfeats,7,14,7,133,10.0,11.0,0,25,40906.0,37950.0
12,1000,dailyfeats,6,7,3,167,24.0,22.0,0,60,28810.0,32568.0
13,1000,icope,6,8,7,216,27.0,19.0,0,54,75283.0,28934.0
14,1000,icope,7,5,5,23,5.0,1.0,4,5,130470.0,85076.0
15,1000,icope,5,3,2,271,90.0,86.0,30,189,90570.0,107721.0
16,1000,mantra,3,12,8,411,34.0,18.0,0,64,53433.0,41586.0
17,1000,mantra,6,12,7,315,26.0,15.0,15,74,48000.0,46375.0
18,1000,mantra,7,11,7,271,25.0,10.0,18,53,52278.0,46639.0
19,1000,mantra,5,9,7,165,18.0,12.0,1,38,61642.0,38047.0
20,1000,mantra,4,7,5,243,35.0,20.0,11,75,69850.0,59191.0
21,1000,mantra,2,1,1,0,0.0,0.0,0,0,-1.0,-1.0
22,1000,messages,5,42,8,266,6.0,16.0,0,71,14488.0,13605.0
23,1000,messages,6,35,8,171,5.0,11.0,0,42,16516.0,18904.0
24,1000,messages,4,24,7,149,6.0,17.0,0,79,22474.0,28255.0
25,1000,messages,7,16,8,69,4.0,15.0,0,59,39052.0,32467.0
26,1000,moveme,6,5,3,281,56.0,58.0,2,154,43470.0,49817.0
27,1000,moveme,7,5,5,77,15.0,22.0,3,55,91425.0,12296.0
28,1000,moveme,5,1,1,78,78.0,0.0,78,78,-1.0,-1.0
29,1000,relax,3,24,8,347,14.0,16.0,0,63,25537.0,39403.0
30,1000,relax,5,20,7,265,13.0,11.0,0,35,25983.0,38977.0
31,1000,relax,7,19,7,289,15.0,13.0,0,43,29027.0,43021.0
32,1000,relax,6,17,7,214,13.0,11.0,0,45,33011.0,44226.0
33,1000,relax,4,13,4,192,15.0,18.0,0,62,21540.0,34596.0
34,1000,relax,2,12,3,489,41.0,43.0,0,145,18093.0,31852.0
35,1000,slumbertime,7,59,7,0,0.0,0.0,0,0,9279.0,10324.0
36,1000,slumbertime,6,54,8,0,0.0,0.0,0,0,11112.0,12436.0
37,1000,slumbertime,5,30,8,2,0.0,0.0,0,2,19624.0,19227.0
38,1000,slumbertime,4,28,8,0,0.0,0.0,0,0,21696.0,21033.0
39,1000,slumbertime,1,12,2,267,22.0,26.0,0,87,8220.0,17564.0
40,1000,slumbertime,2,7,4,0,0.0,0.0,0,0,66950.0,91594.0
41,1000,slumbertime,3,6,5,0,0.0,0.0,0,0,76584.0,70305.0
42,1000,socialforce,1,1,1,29,29.0,0.0,29,29,-1.0,-1.0
43,1000,thoughtchallenger,6,8,7,124,16.0,9.0,6,30,75549.0,33470.0
44,1000,thoughtchallenger,3,6,4,185,31.0,27.0,2,65,51600.0,50739.0
45,1000,thoughtchallenger,5,6,6,58,10.0,3.0,7,15,98700.0,50970.0
46,1000,thoughtchallenger,4,3,3,95,32.0,4.0,28,35,89580.0,12643.0
47,1000,thoughtchallenger,7,3,3,42,14.0,3.0,12,17,95010.0,7425.0
48,1000,worryknot,6,7,7,220,31.0,19.0,9,63,88140.0,4597.0
49,1000,worryknot,5,5,3,310,62.0,57.0,1,151,49230.0,57438.0
50,1000,worryknot,7,1,1,3,3.0,0.0,3,3,-1.0,-1.0
51,1005,dailyfeats,1,2,2,68,34.0,48.0,0,68,88980.0,-1.0
52,1005,dailyfeats,2,1,1,0,0.0,0.0,0,0,-1.0,-1.0
53,1005,icope,1,1,1,8,8.0,0.0,8,8,-1.0,-1.0
54,1005,mantra,1,1,1,93,93.0,0.0,93,93,-1.0,-1.0
55,1005,mantra,2,1,1,102,102.0,0.0,102,102,-1.0,-1.0
56,1005,mantra,3,1,1,22,22.0,0.0,22,22,-1.0,-1.0
57,1005,messages,2,6,2,238,40.0,76.0,0,190,26844.0,19256.0
58,1005,messages,1,5,2,159,32.0,54.0,0,125,10425.0,8276.0
59,1005,messages,3,1,1,0,0.0,0.0,0,0,-1.0,-1.0
60,1013,aspire,3,3,2,326,109.0,54.0,66,169,42720.0,58718.0
61,1013,dailyfeats,2,9,5,472,52.0,68.0,0,159,34612.0,42447.0
62,1013,messages,3,5,2,156,31.0,43.0,0,83,8160.0,5280.0
63,1013,relax,2,4,3,303,76.0,28.0,34,94,29380.0,37319.0
64,1013,slumbertime,4,1,1,137,137.0,0.0,137,137,-1.0,-1.0
