,pid,weekofstudy,afternoon_loyalty,evening_loyalty,latenight_loyalty,morning_loyalty,latenight_regularity,morning_regularity,afternoon_regularity,evening_regularity,latenight_duration,morning_duration,afternoon_duration,evening_duration,latenight_duration_mean,morning_duration_mean,afternoon_duration_mean,evening_duration_mean,latenight_duration_std,morning_duration_std,afternoon_duration_std,evening_duration_std,latenight_duration_min,morning_duration_min,afternoon_duration_min,evening_duration_min,latenight_duration_max,morning_duration_max,afternoon_duration_max,evening_duration_max,latenight_betweenlaunch_duration_mean,morning_betweenlaunch_duration_mean,afternoon_betweenlaunch_duration_mean,evening_betweenlaunch_duration_mean,latenight_betweenlaunch_duration_std,morning_betweenlaunch_duration_std,afternoon_betweenlaunch_duration_std,evening_betweenlaunch_duration_std
0,1000,1,0.0,7.0,1.0,7.0,1,1,0,2,0.0,101.0,0.0,195.0,0.0,14.0,0.0,28.0,0.0,12.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,87.0,-1.0,170.0,-1.0,15070.0,-1.0,88.0,-1.0,33572.0
1,1000,2,0.0,10.0,3.0,7.0,2,3,0,4,0.0,242.0,0.0,247.0,0.0,35.0,0.0,25.0,0.0,54.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,72.0,132840.0,29170.0,-1.0,-8673.0,167245.0,44216.0,-1.0,88745.0
2,1000,3,20.0,28.0,2.0,5.0,1,2,6,5,0.0,129.0,509.0,596.0,0.0,26.0,25.0,21.0,0.0,25.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,64.0,110.0,78.0,14760.0,-86295.0,13588.0,6722.0,-1.0,172490.0,63355.0,42014.0
3,1000,4,45.0,22.0,15.0,4.0,6,2,8,6,27.0,0.0,787.0,346.0,2.0,0.0,17.0,16.0,7.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,27.0,0.0,186.0,75.0,12626.0,149200.0,8299.0,8094.0,48914.0,236348.0,26959.0,44779.0
4,1000,5,68.0,45.0,19.0,5.0,7,3,8,7,0.0,0.0,1724.0,623.0,0.0,0.0,25.0,14.0,0.0,0.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,132.0,28933.0,67335.0,3690.0,11950.0,34649.0,73111.0,21672.0,24467.0
5,1000,6,40.0,94.0,26.0,13.0,7,6,7,7,225.0,0.0,430.0,2009.0,9.0,0.0,11.0,21.0,26.0,0.0,19.0,27.0,0.0,0.0,0.0,0.0,114.0,0.0,89.0,154.0,4308.0,37645.0,5.0,4645.0,30959.0,41100.0,25338.0,17965.0
6,1000,7,37.0,71.0,25.0,12.0,7,5,7,7,10.0,0.0,401.0,1133.0,0.0,0.0,11.0,16.0,2.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,10.0,0.0,125.0,78.0,18210.0,39131.0,8.0,1435.0,31146.0,53247.0,38368.0,21257.0
7,1005,1,5.0,1.0,3.0,0.0,2,0,1,1,68.0,0.0,260.0,0.0,23.0,0.0,52.0,0.0,39.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,125.0,0.0,44490.0,-1.0,2430.0,-1.0,62918.0,-1.0,3769.0,-1.0
8,1005,2,2.0,1.0,5.0,0.0,2,0,2,1,150.0,0.0,190.0,0.0,30.0,0.0,95.0,0.0,45.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,190.0,0.0,22950.0,-1.0,85560.0,-1.0,45740.0,-1.0,-1.0,-1.0
9,1005,3,0.0,0.0,1.0,1.0,1,1,0,0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,1013,2,0.0,4.0,9.0,0.0,4,0,0,2,495.0,0.0,0.0,280.0,55.0,0.0,0.0,70.0,58.0,0.0,0.0,68.0,0.0,0.0,0.0,4.0,140.0,0.0,0.0,159.0,10875.0,-1.0,-1.0,29300.0,43824.0,-1.0,-1.0,37374.0
11,1013,3,1.0,2.0,5.0,0.0,2,0,1,1,399.0,0.0,83.0,0.0,80.0,0.0,83.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,169.0,0.0,83.0,0.0,21405.0,-1.0,-1.0,10800.0,41853.0,-1.0,-1.0,-1.0
12,1013,4,1.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,137.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,137.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
