,pid,package,weekofstudy,afternoon_loyalty,evening_loyalty,latenight_loyalty,morning_loyalty,latenight_regularity,morning_regularity,afternoon_regularity,evening_regularity,latenight_duration,morning_duration,afternoon_duration,evening_duration,latenight_duration_mean,morning_duration_mean,afternoon_duration_mean,evening_duration_mean,latenight_duration_std,morning_duration_std,afternoon_duration_std,evening_duration_std,latenight_duration_min,morning_duration_min,afternoon_duration_min,evening_duration_min,latenight_duration_max,morning_duration_max,afternoon_duration_max,evening_duration_max,latenight_betweenlaunch_duration_mean,morning_betweenlaunch_duration_mean,afternoon_betweenlaunch_duration_mean,evening_betweenlaunch_duration_mean,latenight_betweenlaunch_duration_std,morning_betweenlaunch_duration_std,afternoon_betweenlaunch_duration_std,evening_betweenlaunch_duration_std
0,1000,aspire,3,3.0,2.0,0.0,1.0,0,1,2,2,0.0,10.0,128.0,147.0,0.0,10.0,43.0,74.0,0.0,0.0,59.0,6.0,0.0,10.0,0.0,69.0,0.0,10.0,110.0,78.0,-1.0,-1.0,50070.0,181500.0,-1.0,-1.0,69876.0,-1.0
1,1000,aspire,4,7.0,0.0,0.0,0.0,0,0,5,0,0.0,0.0,119.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,-1.0,-1.0,73980.0,-1.0,-1.0,-1.0,68960.0,-1.0
2,1000,aspire,5,4.0,6.0,0.0,0.0,0,0,4,2,0.0,0.0,157.0,81.0,0.0,0.0,39.0,14.0,0.0,0.0,13.0,12.0,0.0,0.0,24.0,0.0,0.0,0.0,53.0,35.0,-1.0,-1.0,81760.0,87792.0,-1.0,-1.0,5872.0,195202.0
3,1000,aspire,6,2.0,8.0,1.0,0.0,1,0,2,6,60.0,0.0,50.0,159.0,60.0,0.0,25.0,20.0,0.0,0.0,0.0,12.0,60.0,0.0,25.0,7.0,60.0,0.0,25.0,36.0,-1.0,-1.0,263220.0,61654.0,-1.0,-1.0,-1.0,39262.0
4,1000,aspire,7,1.0,5.0,0.0,0.0,0,0,1,5,0.0,0.0,33.0,112.0,0.0,0.0,33.0,22.0,0.0,0.0,0.0,7.0,0.0,0.0,33.0,17.0,0.0,0.0,33.0,30.0,-1.0,-1.0,-1.0,108015.0,-1.0,-1.0,-1.0,34415.0
5,1000,boostme,1,0.0,0.0,1.0,1.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,1000,boostme,3,0.0,1.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,1000,boostme,4,3.0,1.0,0.0,0.0,0,0,3,1,0.0,0.0,320.0,42.0,0.0,0.0,107.0,42.0,0.0,0.0,95.0,0.0,0.0,0.0,2.0,42.0,0.0,0.0,186.0,42.0,-1.0,-1.0,88080.0,-1.0,-1.0,-1.0,12813.0,-1.0
8,1000,boostme,5,7.0,4.0,0.0,0.0,0,0,5,4,0.0,0.0,461.0,233.0,0.0,0.0,66.0,58.0,0.0,0.0,29.0,53.0,0.0,0.0,21.0,18.0,0.0,0.0,102.0,132.0,-1.0,-1.0,55270.0,171780.0,-1.0,-1.0,42554.0,154342.0
9,1000,boostme,6,1.0,7.0,1.0,0.0,1,0,1,6,114.0,0.0,89.0,484.0,114.0,0.0,89.0,69.0,0.0,0.0,0.0,33.0,114.0,0.0,89.0,20.0,114.0,0.0,89.0,99.0,-1.0,-1.0,-1.0,71900.0,-1.0,-1.0,-1.0,28804.0
